SEASON,DATE,YEAR,MONTH,DAY,PLAYER,MATCH,TEAM,OPPONENT,EFF,PTS,FT_M,FT_A,FT_PCT,2FG_M,2FG_A,2FG_PCT,3FG_M,3FG_A,3FG_PCT,AST,STL,BLK,REB_TOT,REB_OFF,REB_DEF,TO,FLS
2023-24,2023-10-11,2023,10,11,Akis Kolovelonis,Vouliagmeni Heat - Αεροδρομιακος,Aerodromiakos,Vouliagmeni Heat,16,18,5,6,83.33,5,7,71.43,1,4,25.0,0,2,0,4,0,4,2,3
2023-24,2023-10-23,2023,10,23,Akis Kolovelonis,Los Reys - Αεροδρομιακος,Aerodromiakos,Los Reys,14,24,6,9,66.67,6,10,60.0,2,6,33.33,1,2,0,3,0,3,5,2
2023-24,2023-11-04,2023,11,4,Akis Kolovelonis,Αεροδρομιακος - Unleash the clowns,Aerodromiakos,Unleash The Clowns,6,8,2,4,50.0,3,10,30.0,0,2,0.0,4,0,0,5,1,4,0,4
2023-24,2023-11-09,2023,11,9,Akis Kolovelonis,Chicken Nuggets BC - Αεροδρομιακος,Aerodromiakos,Chicken Nuggets BC,23,19,7,8,87.5,3,6,50.0,2,4,50.0,2,2,0,9,2,7,3,3
2023-24,2023-11-13,2023,11,13,Akis Kolovelonis,Αεροδρομιακος - Voularbanne Basket,Aerodromiakos,Voularbanne Basket,-4,6,4,7,57.14,1,6,16.67,0,4,0.0,2,1,0,3,2,1,4,3
2023-24,2023-11-29,2023,11,29,Akis Kolovelonis,Αεροδρομιακος - Ποσειδωνες,Aerodromiakos,Poseidones,5,12,1,1,100.0,1,9,11.11,3,9,33.33,2,0,0,6,2,4,1,4
2023-24,2024-01-25,2024,1,25,Akis Kolovelonis,Vouliagmeni Heat - Αεροδρομιακος,Aerodromiakos,Vouliagmeni Heat,21,20,4,5,80.0,8,16,50.0,0,2,0.0,5,2,0,10,1,9,5,3
2023-24,2024-02-01,2024,2,1,Akis Kolovelonis,Αεροδρομιακος - Los Reys,Aerodromiakos,Los Reys,-7,1,1,4,25.0,0,7,0.0,0,4,0.0,3,2,0,6,1,5,5,5
2023-24,2024-02-06,2024,2,6,Akis Kolovelonis,Αεροδρομιακος - Unleash the clowns,Aerodromiakos,Unleash The Clowns,3,2,0,0,0.0,1,4,25.0,0,3,0.0,6,1,0,2,0,2,2,3
2023-24,2024-02-29,2024,2,29,Akis Kolovelonis,Proteas Dads - Αεροδρομιακος,Aerodromiakos,Proteas Dads,-5,2,0,0,0.0,1,10,10.0,0,4,0.0,0,2,0,5,0,5,1,4
2023-24,2024-03-27,2024,3,27,Akis Kolovelonis,Chicken Nuggets BC - Αεροδρομιακος,Aerodromiakos,Chicken Nuggets BC,9,11,0,1,0.0,1,5,20.0,3,7,42.86,4,0,1,3,0,3,1,3
2023-24,2024-05-17,2024,5,17,Akis Kolovelonis,Chicken Nuggets BC - Αεροδρομιακος,Aerodromiakos,Chicken Nuggets BC,1,2,0,0,0.0,1,5,20.0,0,3,0.0,2,0,0,4,1,3,0,2
2024-25,2025-05-29,2025,5,29,Akis Kolovelonis,Αεροδρομιακος - Chicken Nuggets BC,Aerodromiakos,Chicken Nuggets BC,21,19,2,2,100.0,4,8,50.0,3,4,75.0,2,2,0,6,0,6,3,2
2025-26,2025-09-17,2025,9,17,Akis Kolovelonis,Αεροδρομιακος - Chicken Nuggets BC,Aerodromiakos,Chicken Nuggets BC,20,32,3,10,30.0,10,21,47.62,3,9,33.33,4,2,0,7,3,4,1,4
2025-26,2025-09-24,2025,9,24,Akis Kolovelonis,Clicka BC - Αεροδρομιακος,Aerodromiakos,Clicka BC,8,12,3,4,75.0,3,8,37.5,1,2,50.0,2,1,0,1,0,1,1,1
2025-26,2025-10-12,2025,10,12,Akis Kolovelonis,Evriali Warriors - Αεροδρομιακος,Aerodromiakos,Evriali Warriors,9,22,6,7,85.71,5,13,38.46,2,8,25.0,1,3,0,2,2,0,4,1
2025-26,2025-10-29,2025,10,29,Akis Kolovelonis,Chicken Nuggets BC - Αεροδρομιακος,Aerodromiakos,Chicken Nuggets BC,-3,7,1,2,50.0,3,13,23.08,0,1,0.0,0,1,0,1,0,1,0,5
2025-26,2025-11-12,2025,11,12,Akis Kolovelonis,Αεροδρομιακος - Clicka BC,Aerodromiakos,Clicka BC,0,9,3,4,75.0,3,13,23.08,0,2,0.0,0,1,0,6,1,5,3,5
2025-26,2025-11-20,2025,11,20,Akis Kolovelonis,Αεροδρομιακος - Ανηθικοι Πιθηκοι,Aerodromiakos,Anithikoi Pithikoi,10,11,0,1,0.0,4,7,57.14,1,3,33.33,3,1,0,2,1,1,1,5
2025-26,2025-11-24,2025,11,24,Akis Kolovelonis,Αεροδρομιακος - Vouliagmeni Heat,Aerodromiakos,Vouliagmeni Heat,10,13,2,3,66.67,4,8,50.0,1,1,100.0,0,2,0,6,0,6,6,3
2025-26,2025-12-11,2025,12,11,Akis Kolovelonis,Hoston Celtics - Αεροδρομιακος,Aerodromiakos,Hoston Celtics,2,2,0,0,0.0,1,3,33.33,0,2,0.0,3,1,0,1,0,1,1,4
2025-26,2025-12-19,2025,12,19,Akis Kolovelonis,Unleash the clowns - Αεροδρομιακος,Aerodromiakos,Unleash The Clowns,3,7,0,1,0.0,2,8,25.0,1,3,33.33,1,1,0,4,1,3,1,2
2025-26,2026-01-08,2026,1,8,Akis Kolovelonis,Αεροδρομιακος - Glyfathers,Aerodromiakos,Glyfathers,15,14,0,0,0.0,7,12,58.33,0,2,0.0,2,4,0,6,2,4,4,5
2025-26,2026-01-15,2026,1,15,Akis Kolovelonis,Evriali Warriors - Αεροδρομιακος,Aerodromiakos,Evriali Warriors,12,11,0,0,0.0,4,6,66.67,1,2,50.0,4,1,0,1,0,1,2,2
2025-26,2026-01-29,2026,1,29,Akis Kolovelonis,Αεροδρομιακος - Vouliagmeni Heat,Aerodromiakos,Vouliagmeni Heat,5,10,0,0,0.0,5,9,55.56,0,6,0.0,0,2,0,6,0,6,3,4
2025-26,2026-02-26,2026,2,26,Akis Kolovelonis,El Maestro - Αεροδρομιακος,Aerodromiakos,El Maestro,4,9,3,4,75.0,3,10,30.0,0,2,0.0,1,1,0,5,1,4,2,3
2024-25,2024-09-30,2024,9,30,Anastasios Giogiakas,Αεροδρομιακος - Los Reys,Aerodromiakos,Los Reys,6,4,0,0,0.0,2,5,40.0,0,4,0.0,5,0,0,6,2,4,2,5
2024-25,2024-10-08,2024,10,8,Anastasios Giogiakas,Beertouozoi - Αεροδρομιακος,Aerodromiakos,Beertouozoi,2,9,1,2,50.0,1,4,25.0,2,6,33.33,5,0,0,3,1,2,7,0
2024-25,2024-10-14,2024,10,14,Anastasios Giogiakas,Αεροδρομιακος - Slow Motion,Aerodromiakos,Slow Motion,1,5,0,1,0.0,1,4,25.0,1,5,20.0,3,0,0,3,1,2,2,1
2024-25,2024-10-24,2024,10,24,Anastasios Giogiakas,Glyfada Bulls - Αεροδρομιακος,Aerodromiakos,Glyfada Bulls,8,7,1,2,50.0,0,2,0.0,2,7,28.57,4,0,0,7,1,6,2,1
2024-25,2024-11-06,2024,11,6,Anastasios Giogiakas,Proteas Dads - Αεροδρομιακος,Aerodromiakos,Proteas Dads,-6,2,0,0,0.0,1,5,20.0,0,6,0.0,2,1,0,1,0,1,2,1
2024-25,2024-11-18,2024,11,18,Anastasios Giogiakas,Αεροδρομιακος - Ανηθικοι Πιθηκοι,Aerodromiakos,Anithikoi Pithikoi,3,11,1,2,50.0,2,8,25.0,2,12,16.67,2,1,0,9,3,6,3,1
2024-25,2024-11-27,2024,11,27,Anastasios Giogiakas,Αεροδρομιακος - Vouliagmeni Heat,Aerodromiakos,Vouliagmeni Heat,1,0,0,0,0.0,0,0,0.0,0,3,0.0,1,0,0,7,1,6,4,1
2024-25,2024-12-05,2024,12,5,Anastasios Giogiakas,Clicka BC - Αεροδρομιακος,Aerodromiakos,Clicka BC,4,5,3,4,75.0,1,3,33.33,0,3,0.0,1,1,0,4,0,4,1,4
2024-25,2024-12-09,2024,12,9,Anastasios Giogiakas,Αεροδρομιακος - Chicken Nuggets BC,Aerodromiakos,Chicken Nuggets BC,5,6,0,0,0.0,0,3,0.0,2,8,25.0,2,2,0,4,1,3,0,3
2024-25,2025-01-11,2025,1,11,Anastasios Giogiakas,Αεροδρομιακος - Glyfathers,Aerodromiakos,Glyfathers,5,0,0,0,0.0,0,0,0.0,0,2,0.0,3,1,0,3,0,3,0,1
2024-25,2025-01-27,2025,1,27,Anastasios Giogiakas,Αεροδρομιακος - Ποσειδωνες,Aerodromiakos,Poseidones,1,2,0,0,0.0,1,3,33.33,0,3,0.0,2,0,0,4,0,4,2,1
